"sensor","value","time","id"
"HUMB",69.00,"2020-03-01 09:23:13",529059
"HUMB",68.00,"2020-03-01 10:38:14",529149
"TCB",9.40,"2020-03-01 10:38:14",529151
"TCB",8.20,"2020-03-01 09:23:13",529061
"HUMB",70.00,"2020-03-01 09:38:14",529077
"TCB",8.40,"2020-03-01 09:38:14",529079
"HUMB",69.00,"2020-03-01 09:53:13",529095
"TCB",8.50,"2020-03-01 09:53:13",529097
"HUMB",69.00,"2020-03-01 10:08:14",529113
"TCB",8.60,"2020-03-01 10:08:14",529115
"HUMB",69.00,"2020-03-01 10:23:13",529131
"TCB",8.80,"2020-03-01 10:23:13",529133
"HUMB",66.00,"2020-03-02 10:38:14",530643
"TCB",9.30,"2020-03-02 10:38:14",530645
"HUMB",100.00,"2020-03-03 09:08:14",532074
"HUMB",100.00,"2020-03-02 09:08:13",530544
"TCB",6.80,"2020-03-02 09:08:13",530546
"HUMB",100.00,"2020-03-02 09:23:13",530562
"TCB",7.80,"2020-03-02 09:23:13",530564
"HUMB",80.00,"2020-03-02 09:38:13",530580
"TCB",11.70,"2020-03-02 09:38:13",530582
"HUMB",68.00,"2020-03-02 09:53:13",530589
"TCB",9.80,"2020-03-02 09:53:13",530591
"HUMB",69.00,"2020-03-02 10:08:13",530607
"TCB",9.30,"2020-03-02 10:08:13",530609
"HUMB",71.00,"2020-03-02 10:23:13",530625
"TCB",9.40,"2020-03-02 10:23:13",530627
"TCB",8.50,"2020-03-03 09:08:14",532076
"HUMB",100.00,"2020-03-03 09:23:13",532092
"TCB",8.30,"2020-03-03 09:53:13",532130
"TCB",8.40,"2020-03-03 09:23:13",532094
"HUMB",100.00,"2020-03-03 10:08:14",532146
"HUMB",100.00,"2020-03-03 09:38:14",532110
"TCB",8.30,"2020-03-03 10:08:14",532148
"HUMB",100.00,"2020-03-03 10:23:13",532164
"TCB",8.20,"2020-03-03 10:23:13",532166
"TCB",8.30,"2020-03-03 09:38:14",532112
"HUMB",100.00,"2020-03-03 09:53:13",532128
"HUMB",100.00,"2020-03-03 10:38:14",532182
"TCB",8.10,"2020-03-03 10:38:14",532184
"HUMB",100.00,"2020-03-03 10:53:13",532200
"TCB",7.70,"2020-03-03 10:53:13",532202
"HUMB",70.00,"2020-03-04 10:38:13",533757
"TCB",7.90,"2020-03-04 10:38:13",533759
"HUMB",68.00,"2020-03-04 10:53:13",533766
"TCB",8.30,"2020-03-04 10:53:13",533768
"HUMB",63.00,"2020-03-05 10:23:13",535341
"HUMB",81.00,"2020-03-04 09:08:13",533694
"TCB",5.50,"2020-03-04 09:08:13",533696
"HUMB",77.00,"2020-03-04 09:23:13",533703
"TCB",6.50,"2020-03-04 09:23:13",533705
"HUMB",74.00,"2020-03-04 09:38:13",533721
"TCB",6.90,"2020-03-04 09:38:13",533723
"HUMB",68.00,"2020-03-05 09:08:14",535251
"TCB",7.20,"2020-03-05 09:08:14",535253
"HUMB",66.00,"2020-03-05 09:23:14",535269
"TCB",7.80,"2020-03-05 09:23:14",535271
"HUMB",64.00,"2020-03-05 09:38:13",535287
"TCB",8.20,"2020-03-05 09:38:13",535289
"HUMB",65.00,"2020-03-05 09:53:13",535305
"TCB",8.30,"2020-03-05 09:53:13",535307
"HUMB",65.00,"2020-03-05 10:08:14",535323
"TCB",8.70,"2020-03-05 10:08:14",535325
"TCB",9.20,"2020-03-05 10:23:13",535343
"HUMB",58.00,"2020-03-05 10:38:14",535359
"TCB",10.30,"2020-03-05 10:38:14",535361
"HUMB",60.00,"2020-03-05 10:53:14",535377
"TCB",10.80,"2020-03-05 10:53:14",535379
"HUMB",100.00,"2020-03-06 09:08:14",538806
"HUMB",100.00,"2020-03-06 09:23:13",538824
"TCB",4.20,"2020-03-06 09:23:13",538826
"TCB",4.20,"2020-03-06 09:08:14",538808
"HUMB",100.00,"2020-03-06 09:38:13",538842
"TCB",4.30,"2020-03-06 09:38:13",538844
"HUMB",75.00,"2020-03-07 09:08:13",540480
"HUMB",100.00,"2020-03-06 09:53:14",538851
"TCB",4.60,"2020-03-06 09:53:14",538853
"HUMB",100.00,"2020-03-06 10:08:13",538860
"TCB",4.40,"2020-03-06 10:08:13",538862
"HUMB",100.00,"2020-03-06 10:23:13",538878
"TCB",4.30,"2020-03-06 10:23:13",538880
"HUMB",100.00,"2020-03-06 10:38:13",538896
"TCB",4.20,"2020-03-06 10:38:13",538898
"HUMB",100.00,"2020-03-06 10:53:13",538914
"TCB",4.40,"2020-03-06 10:53:13",538916
"HUMB",86.00,"2020-03-07 10:08:14",540552
"TCB",6.40,"2020-03-07 10:08:14",540554
"HUMB",82.00,"2020-03-07 10:23:13",540570
"TCB",6.80,"2020-03-07 10:23:13",540572
"HUMB",80.00,"2020-03-07 10:53:14",540597
"TCB",6.50,"2020-03-07 10:53:14",540599
"TCB",7.80,"2020-03-07 09:08:13",540482
"HUMB",78.00,"2020-03-07 09:23:13",540498
"TCB",6.90,"2020-03-07 09:23:13",540500
"HUMB",95.00,"2020-03-07 09:38:13",540516
"TCB",5.40,"2020-03-07 09:38:13",540518
"HUMB",92.00,"2020-03-07 09:53:13",540534
"TCB",5.70,"2020-03-07 09:53:13",540536
"HUMB",50.00,"2020-03-08 09:38:14",542307
"TCB",10.70,"2020-03-08 09:38:14",542309
"HUMB",55.00,"2020-03-08 09:53:13",542325
"TCB",9.40,"2020-03-08 09:53:13",542327
"HUMB",48.00,"2020-03-08 10:08:13",542343
"TCB",8.10,"2020-03-08 10:08:13",542345
"HUMB",56.00,"2020-03-08 09:08:14",542271
"TCB",9.30,"2020-03-08 09:08:14",542273
"HUMB",38.00,"2020-03-08 10:38:13",542370
"HUMB",50.00,"2020-03-08 09:23:13",542289
"TCB",10.20,"2020-03-08 09:23:13",542291
"TCB",11.50,"2020-03-08 10:38:13",542372
"HUMB",41.00,"2020-03-08 10:53:13",542388
"TCB",9.50,"2020-03-08 10:53:13",542390
"HUMB",61.00,"2020-03-09 09:08:13",544116
"TCB",6.70,"2020-03-09 09:08:13",544118
"HUMB",61.00,"2020-03-09 09:23:13",544134
"TCB",8.30,"2020-03-09 09:38:13",544154
"TCB",7.20,"2020-03-09 09:23:13",544136
"HUMB",57.00,"2020-03-09 10:23:14",544188
"TCB",8.60,"2020-03-09 10:23:14",544190
"HUMB",60.00,"2020-03-09 09:38:13",544152
"HUMB",53.00,"2020-03-09 10:38:13",544206
"TCB",9.10,"2020-03-09 10:38:13",544208
"HUMB",54.00,"2020-03-10 10:08:14",545898
"HUMB",52.00,"2020-03-09 10:53:14",544224
"TCB",9.90,"2020-03-09 10:53:14",544226
"HUMB",69.00,"2020-03-10 09:23:13",545844
"TCB",10.30,"2020-03-10 09:23:13",545846
"TCB",13.90,"2020-03-10 10:08:14",545900
"HUMB",62.00,"2020-03-10 09:38:13",545862
